EIST,31125
AINT,29386
EIRS,28179
EINS,27996
ERST,27857
INOT,27487
AERT,25276
GINS,23202
EINT,23170
EIRT,22963
INOS,22720
AERS,21494
AEST,21275
INST,20774
EINR,19833
EORS,19474
AIOT,19435
ENST,18814
AIST,18668
DEIS,18558
EPRS,18173
AIRT,18048
ARST,16547
AILT,16472
EGIN,16055
AINO,16049
EILS,15979
ACIT,15949
ENRT,15594
IOST,15174
AENT,15172
EORT,15058
GINR,14923
GINT,14729
AINS,14610
IRST,14469
ANOT,14467
ENOS,14286
AILS,14044
AELS,13829
EIMS,13570
AORT,13464
DEIN,13457
ORST,13394
ACIL,13367
AGIN,13344
GILN,13269
AILN,13242
AEIT,13127
CERS,13008
ENRS,12973
AELT,12930
CEIS,12729
ANST,12674
ERSU,12618
AELR,12576
ADER,12431
AENR,12417
NOST,12393
AENS,12300
DERS,12063
AINR,11886
ACER,11864
CEIT,11860
EIPS,11782
DEIR,11708
EOST,11656
AEIS,11610
AEIR,11573
AIRS,11211
INRT,11155
ENOR,11121
ABEL,11104
IORT,11007
EILN,10970
GINO,10962
CEOR,10911
EOPR,10903
CINO,10853
ACES,10809
AEPR,10729
CEIN,10673
AEIN,10652
DENS,10643
EILT,10540
CENS,10537
ACIN,10503
DENU,10349
ANRT,10326
EHIS,10309
ELST,10226
EGNR,10171
AILR,10149
ENOT,10042
AEIL,10006
CEIR,9888
CIST,9834
AELN,9792
ADET,9758
ACET,9742
EILR,9730
CEOS,9581
INOR,9576
ENSU,9551
EIOS,9513
ALST,9446
ELRS,9301
DEOR,9297
EIPR,9288
EINO,9272
DENR,9261
CERT,9225
ADES,9108
AIMN,9088
CENO,9084
ILST,8933
AEPS,8923
IORS,8898
EIMR,8889
CNOS,8876
EOPS,8784
EHRS,8781
AEMR,8735
CIOT,8727
EGIR,8662
INRS,8646
AEMS,8583
DGIN,8504
AIMS,8468
DEIT,8439
ACEN,8435
CINT,8434
ACRT,8390
OPRS,8384
ERTU,8383
EORV,8375
EMNT,8371
AEMT,8368
EHST,8330
ACIR,8314
AEGR,8312
ABER,8251
ACRS,8250
ELOS,8212
DEST,8145
CEST,8130
ADEN,8122
EMST,8080
AOST,8048
ESTU,8033
ACIS,7992
ELNS,7951
EMOR,7944
ACEL,7878
EPST,7838
EMOS,7836
ACST,7828
CINS,7809
EPRT,7803
CIRT,7793
DEIL,7788
ENRU,7758
CORS,7705
DINS,7662
EMRS,7641
ADEL,7612
DENO,7609
EIMT,7587
CIOS,7582
NORS,7504
IMST,7473
EIOR,7463
AEHT,7433
EHRT,7409
ILNS,7332
ABIL,7279
CGIN,7278
APRS,7255
IMNS,7242
ANRS,7231
AIMT,7230
ILOS,7217
RSTU,7211
OPRT,7204
AORS,7198
EGIS,7160
EMRT,7137
EGRS,7104
IMNO,7102
ILNO,7100
EIMN,7096
NORT,7091
DERT,7069
AILO,7020
AEHS,7001
GINU,6947
DENT,6940
ANOR,6939
AEHR,6937
AEMN,6935
ORSU,6921
IPRS,6914
DEOS,6906
HIST,6900
ACOR,6886
EGNS,6869
EOSU,6860
EISV,6856
CORT,6842
ELOR,6822
NOSU,6802
OSTU,6760
CNOT,6710
CENT,6665
CEOT,6624
ALNO,6615
GINP,6614
CENR,6612
HINS,6562
EITV,6560
ERSV,6486
AGNR,6480
EMNS,6461
GIST,6459
EMNO,6452
CIOR,6451
GILO,6451
ADIN,6449
IMOS,6449
ALOT,6424
OPST,6382
CEHS,6380
DERU,6377
IOPS,6372
