ES,490793
ER,428795
IS,371103
IN,365787
EI,361736
ET,334918
EN,330259
IT,319670
AE,305768
AI,285974
AS,285595
AR,283001
AT,282530
ST,269576
RS,264262
NS,255315
IR,254032
OS,253260
EL,248457
OR,239254
AN,239120
EO,238064
AL,237025
DE,228836
IL,228646
NO,225462
RT,220613
IO,218035
OT,207569
NT,200761
CE,190472
CI,182590
AC,173268
LS,171712
GN,163930
AO,162393
NR,158948
GI,157856
EP,156861
SU,155307
LO,152505
CS,150716
CO,150565
EM,148702
EU,143302
DI,141247
PS,134997
IM,129755
CR,128419
AM,124429
MS,122939
EH,122818
LT,121068
DS,120896
PR,120843
CT,119233
AD,118918
CN,118811
RU,116896
OP,116342
NU,115313
EG,115152
HS,115070
IP,114659
LN,113695
AP,110935
DR,108764
MO,107863
DN,107401
TU,106845
LR,102578
AG,102415
DO,100339
HI,98036
LU,97773
IU,97502
AH,97033
GS,94845
BE,93619
AU,93490
OU,93389
CL,92062
AB,90799
GR,89387
HO,87840
GO,86646
MR,85635
HT,84683
MN,80772
HR,78991
MT,75374
PT,73954
CH,72930
LY,72029
EV,72006
BI,70276
BS,69679
CU,69388
LP,68675
BL,66810
GL,66763
DL,66387
BR,66084
NP,64853
DT,64608
DU,61789
EF,61270
EY,59946
BO,59185
HN,58953
AY,58284
HP,58162
SY,56578
LM,56197
GT,56075
FI,54031
MU,53650
OY,53276
RY,51965
IV,51806
IY,50040
TY,49032
CD,48725
EK,46690
PU,46580
CP,46413
FR,45866
BU,45265
GU,45201
HL,44984
NY,43720
CM,43511
KS,42916
FS,42597
EW,41974
IK,40106
BN,40085
BT,40071
AK,39087
MP,38221
RV,37803
AF,37699
IZ,37111
DM,36933
AV,36635
PY,35785
FL,35690
CY,35304
DG,35261
DP,35153
FO,35149
SW,34189
SV,33923
OV,33333
OW,33096
HU,32346
AW,31856
FN,31584
CK,31352
HY,31245
HM,30709
DH,30533
GH,29995
GM,29202
RW,29162
EZ,29154
FT,28538
KR,28437
GP,27749
KN,27723
BD,27235
KO,26959
FU,26824
CG,26734
NV,25081
IW,24986
MY,24981
DY,24507
BM,24040
TV,23374
BC,23138
LV,22913
EX,22526
GY,22481
NW,22154
KL,21668
AZ,20046
BG,19329
UY,19275
TW,18027
QU,17087
LW,17057
DF,16644
DW,16328
KT,16251
CF,15932
BH,14814
BY,14768
NZ,13850
KU,13529
DV,13214
OZ,13212
HW,13206
SZ,12854
FG,12472
IX,12263
CV,12157
RZ,11977
OX,11177
DK,11107
UV,11073
LZ,11056
BK,10965
TZ,10892
HK,10828
AX,10547
SX,9989
GW,9739
EQ,9494
FM,9248
FY,9248
GV,9160
KP,9145
TX,8947
EJ,8830
IQ,8755
KM,8745
BP,8412
DZ,7891
QS,7789
FH,7752
GK,7739
AJ,7541
AQ,7199
RX,7086
KY,7026
JS,6984
NX,6778
KW,6674
LX,6486
WY,6334
CW,6029
GZ,5994
JO,5874
VY,5864
PW,5860
BW,5837
BF,5748
IJ,5695
MW,5647
JU,5645
FP,5514
UW,5452
PV,5429
PX,5243
MZ,5028
JN,5001
MV,4746
NQ,4579
CX,4547
JR,4465
FK,4239
CZ,4173
UX,4172
UZ,4159
QR,4114
FW,3866
BV,3859
DX,3794
HV,3781
JT,3575
XY,3508
QT,3501
PZ,3468
HZ,3414
LQ,3168
MX,3153
YZ,3108
CJ,2990
BZ,2968
DJ,2791
OQ,2620
GJ,2583
JL,2380
HX,2370
BJ,2191
VW,2002
CQ,1910
BX,1888
DQ,1886
GX,1874
FV,1852
JM,1746
JK,1536
JY,1488
FX,1476
KV,1471
FZ,1389
JP,1258
GQ,1128
VZ,1016
QY,1012
HJ,953
KZ,916
MQ,877
WZ,866
HQ,786
BQ,778
VX,744
PQ,706
JW,536
WX,504
JV,408
KQ,401
FQ,377
FJ,323
QV,299
JZ,276
QZ,248
KX,229
XZ,205
QW,124
JX,117
QX,93
JQ,59
