AINOT,8693
INOST,5296
EIRST,4006
EINST,3883
EGINR,3693
EINRT,3552
AERST,3526
AINST,2599
AGINT,2504
GINST,2214
AILST,2195
CINOT,2195
AEIRT,2105
AENRT,2097
DEIRS,2075
AEINT,2044
EOPRS,1984
EORST,1956
EIPRS,1955
AIRST,1953
DENRU,1952
AIORT,1932
EINRS,1890
CEINS,1882
AINRT,1867
DEINS,1847
EPRSU,1830
AENST,1789
ACINT,1779
AILNT,1745
ACERS,1719
DEIST,1712
ACILT,1707
ACERT,1706
AILNO,1704
EILST,1692
ENRST,1670
ACIRT,1656
AORST,1645
CEIRT,1634
AEIRS,1628
GILNS,1628
EIMST,1606
AEPRS,1582
ANRST,1582
ACIST,1581
AEILS,1574
EINOS,1574
EIMRT,1562
AELST,1561
ENORS,1560
ENOST,1554
CEORS,1541
ACIOT,1532
CEIRS,1512
INORT,1512
CINOS,1503
ADERT,1501
AEIST,1495
EIMRS,1459
EORSV,1459
ERSTU,1457
CEIST,1433
AELRT,1426
DEINT,1420
EGINS,1413
EHIST,1402
AEMST,1377
EMNST,1376
EILNS,1375
CENOS,1373
AEHRT,1372
AEITV,1367
AGINR,1364
EOPRT,1354
CEINT,1353
AGHPR,1349
IORST,1348
GILNY,1345
GHINS,1340
GINRS,1336
ABELR,1326
ACEST,1316
EIPST,1302
EPRST,1302
DGINS,1295
EINOT,1289
ACENS,1268
INORS,1259
CEORT,1256
ACORT,1252
AIOST,1252
DEGIN,1251
EHINS,1243
AILOT,1240
EGINT,1239
DEIMS,1238
AILMS,1237
DEINR,1236
DEILS,1232
AEINR,1228
IMNOS,1225
DENSU,1215
AGOPR,1212
AEMNT,1196
AEILR,1195
EHIRS,1195
AIMNT,1193
OPRST,1193
AEINS,1192
GINPS,1173
ENRTU,1159
CENOR,1150
GINRT,1150
AEPRT,1142
ADEST,1130
EIRSV,1130
ENOSU,1125
AILRT,1119
INOSU,1106
EIORS,1105
DINOS,1097
AILNS,1095
AIMST,1092
ABELS,1073
EILRS,1073
EMORT,1067
ACEIT,1066
INOPT,1065
AGINS,1064
AEMRT,1061
CGINO,1056
ACILN,1054
EGILN,1053
AELRS,1047
GIMNS,1038
ADERS,1034
AEILN,1030
ACENR,1027
AINOS,1027
ADENR,1021
EORSU,1020
AEGRS,1014
ANORT,1012
AEGNR,1011
ACELS,1009
EINOR,1009
AILTU,1008
EIMNS,1002
ABELT,999
AIMNS,999
AGILN,996
AIOTZ,984
AEILT,981
EIORT,981
CIORT,975
AEPST,971
GINOS,969
